comp_x_unit,comp_y_unit,comp_z_unit,final_temperature_uK,cooling_efficiency,mean_field_mG,initial_field_mG,final_field_mG,mean_relative_efficiency
-120.0,-120.0,-120.0,35.572498325216344,0.1196622074265853,244.88789083756436,228.63726730347352,247.38496117099572,0.5857525150019778
-110.0,-120.0,-120.0,34.91240004913468,0.13750270137473833,240.42940485932203,226.43983748448505,242.69194060265735,0.5946287647378424
-100.0,-120.0,-120.0,34.288590040154574,0.15436243134717367,236.30953158827612,224.6664193866097,238.32632471758643,0.6029229702974525
-90.0,-120.0,-120.0,33.706378798627455,0.1700978703073661,232.54611259782365,223.32711434127293,234.30641492136135,0.6105750044709253
-80.0,-120.0,-120.0,33.17091187173338,0.18456994941261132,229.15655366112313,222.42976419535225,230.6502874336163,0.6175270519146755
-70.0,-120.0,-120.0,32.68708661299622,0.19764630775685896,226.15751396889775,221.97972880423114,227.37549145217594,0.6237245977228153
-60.0,-120.0,-120.0,32.259468065015035,0.20920356581040445,223.56457196940573,221.97972880423114,224.4987152146471,0.6291174164563833
-50.0,-120.0,-120.0,31.89220626193674,0.21912956048819626,221.39187934536938,222.42976419535225,222.03542994967245,0.6336605311805412
-40.0,-120.0,-120.0,31.588957424428624,0.2273254750154426,219.65181765716565,223.32711434127293,219.99952539231668,0.6373151106172714
-30.0,-120.0,-120.0,31.352811588496667,0.23370779490549548,218.35467445719522,224.6664193866097,218.40295371801474,0.6400492726396476
-20.0,-120.0,-120.0,31.186229152948805,0.23821002289327556,217.50835676364542,226.43983748448505,217.25540088260632,0.6418387641568308
-10.0,-120.0,-120.0,31.09098863964907,0.24078409082029542,217.11815930141404,228.63726730347352,216.56400493288507,0.6426674909855173
0.0,-120.0,-120.0,31.068147637428922,0.24140141520462374,217.1866026790537,231.24662159694356,216.3331395151454,0.6425278764538165
10.0,-120.0,-120.0,31.118018457380526,0.24005355520593175,217.7133527312238,234.25413550244957,216.56427746142265,0.6414210339790393
20.0,-120.0,-120.0,31.240159487838756,0.23675244627462821,218.69522695731195,237.6446927663229,217.25594420474837,0.6393567463208752
30.0,-120.0,-120.0,31.433382634256912,0.23153019907413752,220.12628791930481,241.40215409146623,218.40376441857734,0.6363532521639275
40.0,-120.0,-120.0,31.695776601014817,0.22443847024284277,221.998017368964,245.50967394381834,220.0005984812635,0.6324368486082644
50.0,-120.0,-120.0,32.02474515985075,0.21554742811214184,224.2995595123008,249.94999499899976,222.03675901080618,0.6276413255243198
60.0,-120.0,-120.0,32.41705899217807,0.20494435156275487,227.01801781253798,254.7057125390006,224.50029258763007,0.6220072540903843
70.0,-120.0,-120.0,32.868919223597445,0.19273191287574473,230.13878746207035,259.75950415721076,227.37730843652847,0.6155811568019787
80.0,-120.0,-120.0,33.37603041348793,0.1790262050408667,233.64590520729263,265.09432283623124,230.6523345031411,0.6084145895724015
90.0,-120.0,-120.0,33.9336805353477,0.1639545801257379,237.52239940176344,270.69355367278325,234.30868193828752,0.6005631681236373
100.0,-120.0,-120.0,34.536825388365116,0.14765336788202388,241.75062560741915,276.54113618049666,238.32880113734947,0.5920855707284862
110.0,-120.0,-120.0,35.180174911182284,0.13026554294101933,246.31257627622335,282.62165522125156,242.6946156623071,0.5830425476659421
120.0,-120.0,-120.0,35.85827901018455,0.11193840513014722,251.19015654194487,288.92040426387337,247.38782405644716,0.5734959647493766
-120.0,-110.0,-120.0,34.53065281717465,0.14782019413041492,237.52005226876892,219.71572542719832,240.20677824243467,0.6005022056434376
-110.0,-110.0,-120.0,33.830849065723164,0.16673380903450907,232.92149895958175,217.428149051589,235.37067645209945,0.6098322037103453
-100.0,-110.0,-120.0,33.16918689936311,0.18461657028748346,228.6673736076506,215.580611373101,230.8666592503724,0.6185565723707029
-90.0,-110.0,-120.0,32.551346409281955,0.20131496191129852,224.77705116749462,214.18449990603895,226.7145195467998,0.6266107141183257
-80.0,-110.0,-120.0,31.9828401341987,0.2166799963730081,221.26953537119053,213.24868112136122,222.93391934213366,0.6339324075299031
-70.0,-110.0,-120.0,31.46892274772234,0.23056965546696384,218.16310826455432,212.77922830953213,219.5440534679854,0.64046289179308
-60.0,-110.0,-120.0,31.0144994415713,0.24285136644401895,215.47494785982377,212.77922830953213,216.56327120050236,0.6461479553008727
-50.0,-110.0,-120.0,30.62403554339283,0.2534044447731668,213.22072711454007,213.24868112136122,214.00866677069652,0.6509389942031697
-40.0,-110.0,-120.0,30.301470124024213,0.26212242908042666,211.41421153020022,214.18449990603895,211.8956546814486,0.6547940049985256
-30.0,-110.0,-120.0,30.050136443115818,0.26891523126714006,210.06687591671127,215.580611373101,210.23755014932135,0.6576784752295186
-20.0,-110.0,-120.0,29.872692032546,0.27371102614740545,209.1875626476186,217.428149051589,209.04517816179617,0.6595661382917466
-10.0,-110.0,-120.0,29.77106101242029,0.2764578104751273,208.78220348161247,219.71572542719832,208.32653583402617,0.6604395623131876
0.0,-110.0,-120.0,29.746390875480788,0.2771245709329517,208.8536244233443,222.42976419535225,208.08653140584204,0.6602905488758797
10.0,-110.0,-120.0,29.799025476763262,0.27570201414153345,209.40144816908696,225.55487137279923,208.3268191386389,0.6591203247392181
20.0,-110.0,-120.0,29.92849535364727,0.27220282827980347,210.42210186828558,229.07422377910615,209.04574282278955,0.6569395182406326
30.0,-110.0,-120.0,30.13352581521454,0.26666146445366107,211.90893003898043,232.9699551444349,210.2383923365106,0.6537679211425032
40.0,-110.0,-120.0,30.41206252448424,0.2591334452842097,213.85240454191396,237.22352328552918,211.89676881007233,0.6496340457533276
50.0,-110.0,-120.0,30.761313600741037,0.249694227006999,216.24041660439116,241.81604578687495,214.01004568023887,0.6445744955672157
60.0,-110.0,-120.0,31.177806637703576,0.2384376584404439,219.05863085260768,246.72859582950656,216.56490637212352,0.6386331748904923
70.0,-110.0,-120.0,31.657458505823172,0.22547409443721156,222.2908786602596,251.94245374688245,219.54593526611993,0.6318603685218489
80.0,-110.0,-120.0,32.19565541235183,0.2109282320985991,225.91956792388956,257.43931323712,222.9360372658131,0.624311726237168
90.0,-110.0,-120.0,32.78734044729737,0.19493674466763872,229.92608831636207,263.20144376503714,226.71686247761258,0.6160471884842449
100.0,-110.0,-120.0,33.42710575030731,0.1776457905322348,234.2911945676193,269.2118125194361,230.8692156862872,0.6071298893654417
110.0,-110.0,-120.0,34.109286484196595,0.15920847340009203,238.99535468423844,275.4541704167864,235.37343471919274,0.5976250708747217
120.0,-110.0,-120.0,34.828053976776495,0.13978232495198661,244.01905458694668,281.913107180209,240.20972667945563,0.587599038770797
-120.0,-100.0,-120.0,33.49102720155485,0.1759181837417608,230.34965801545712,210.8909670896314,233.23651861071264,0.6151215044888262
-110.0,-100.0,-120.0,32.75112641356443,0.19591550233609653,225.60600731458257,208.50659461993044,228.2527823128428,0.6249123576795373
-100.0,-100.0,-120.0,32.05120134851466,0.21483239598609027,221.21232965972425,206.579282601136,223.60543744162996,0.63407406827328
-90.0,-100.0,-120.0,31.397310699659215,0.23250511622542663,217.18965477480864,205.12191496766016,219.3158696341224,0.6425374054121823
-80.0,-100.0,-120.0,30.795343994764877,0.24877448662797627,213.558728810035,204.14455662593602,215.40545418647147,0.65023557029117
-70.0,-100.0,-120.0,30.250923912178877,0.2634885429140844,210.3396203535568,203.654118544163,211.89518331757512,0.6571053820904182
-60.0,-100.0,-120.0,29.769306797432066,0.27650522169102526,207.55128367792344,203.654118544163,208.80523875874727,0.6630884722390764
-50.0,-100.0,-120.0,29.355284176949926,0.2876950222445966,205.21109419821457,204.14455662593602,206.15452154392864,0.6681324489580486
-40.0,-100.0,-120.0,29.013088327483782,0.29694355871665457,203.33437661404002,205.12191496766016,203.96015731734184,0.6721919917988185
-30.0,-100.0,-120.0,28.746305084179795,0.3041539166437893,201.93395080732412,206.579282601136,202.2370015423081,0.675229835701285
-20.0,-100.0,-120.0,28.557797030480227,0.3092487289059398,201.01972336846993,208.50659461993044,200.99717364364162,0.6772176061575864
-10.0,-100.0,-120.0,28.449639994601917,0.31217189203778606,200.59835280168693,210.8909670896314,200.2496512672142,0.6781364714418484
0.0,-100.0,-120.0,28.423075380079048,0.31288985459245816,200.67301348736416,213.71710273162512,199.99995463136887,0.6779775844050169
10.0,-100.0,-120.0,28.478480297756764,0.3113924243849523,201.2432773174105,216.96773953747132,200.24994599864016,0.676742294701052
20.0,-100.0,-120.0,28.615356775183265,0.307693060130182,202.30512312600854,220.62411472910208,200.99776091381463,0.6744421219928926
30.0,-100.0,-120.0,28.832340541074853,0.301828634025004,203.85107372308784,224.6664193866097,202.23787704650104,0.671098491040247
40.0,-100.0,-120.0,29.127229070605274,0.293858673767425,205.87044995988924,229.07422377910615,203.96131479323319,0.666742239883576
50.0,-100.0,-120.0,29.497027788064667,0.28386411383609006,208.3497223081782,233.82685902179844,206.15595298727868,0.6614129218985424
60.0,-100.0,-120.0,29.938012610562694,0.27194560511992716,211.2729341123937,238.90374630800582,208.8069346836971,0.6551579306647124
70.0,-100.0,-120.0,30.44580642533066,0.25822144796403623,214.62216763140475,244.28467000612216,211.8971330431595,0.6480314828679661
80.0,-100.0,-120.0,31.015466656768627,0.2428252254927398,218.3780242498995,249.94999499899976,215.4076461312809,0.6400934985129721
90.0,-100.0,-120.0,31.641580815700575,0.22590322119728176,222.52009328696573,255.88083163847972,219.31829160315795,0.6314084194347743
