Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
383,66238.8211,7903.6266,560737.7721,24528.4297,59048.2057,15105.6619,565567.8586,23082.1716,0.0013,0.0001,0.0061,0.0003,0.0013,0.0001,0.0062,0.0003,2.7395,0.2768,4.9756,0.0214,2.8098,0.1781,4.8532,0.1781,1.5961,0.3152,5.2955,0.0460,1.6716,0.2090,5.0412,0.3686,0.7991,0.0001,0.8038,0.0001,0.7993,0.0001,0.8037,0.0003,10.5419,0.8206,89.4581,0.8206,9.3802,1.9705,90.6198,1.9705
385,93286.9550,16368.3441,592255.5519,37892.8619,80819.4083,23533.7569,593447.3878,38877.6440,0.0019,0.0003,0.0062,0.0003,0.0019,0.0003,0.0063,0.0003,2.5789,0.0895,5.1341,0.0888,2.6395,0.5751,5.1512,0.2775,1.4045,0.0991,5.6424,0.1951,1.5265,0.7105,5.6888,0.5920,0.7991,0.0000,0.8040,0.0001,0.7995,0.0005,0.8038,0.0002,13.5318,1.4480,86.4682,1.4480,11.8426,2.4278,88.1574,2.4278
387,113364.2797,24274.4007,581037.8374,45951.7413,103054.3044,25059.4849,579280.5321,45657.4784,0.0024,0.0005,0.0059,0.0003,0.0023,0.0005,0.0059,0.0003,2.5789,0.0611,5.2903,0.1256,2.9375,0.4615,5.4492,0.4664,1.4035,0.0663,5.9910,0.2823,1.8547,0.5812,6.3863,1.0471,0.7991,0.0001,0.8039,0.0001,0.7990,0.0006,0.8037,0.0003,16.1535,2.1521,83.8465,2.1521,14.9015,2.4599,85.0985,2.4599
389,143783.2078,14087.2068,581081.1702,44789.3774,137660.1859,17669.6259,576198.1208,43912.2025,0.0029,0.0002,0.0057,0.0004,0.0028,0.0003,0.0056,0.0004,2.6638,0.0895,5.5000,0.0525,2.8523,0.3228,5.8324,0.2427,1.4984,0.1014,6.4748,0.1223,1.7341,0.3725,7.2826,0.6018,0.7991,0.0001,0.8040,0.0001,0.7992,0.0004,0.8037,0.0003,19.8269,1.1368,80.1731,1.1368,19.2413,1.3746,80.7587,1.3746
391,141173.0779,31553.5648,542589.6817,61926.2311,131819.9235,35517.3523,536503.7589,62022.8776,0.0029,0.0005,0.0052,0.0005,0.0029,0.0005,0.0052,0.0005,2.6218,0.1061,5.5615,0.1083,2.8098,0.2775,5.6621,0.3228,1.4518,0.1178,6.6207,0.2586,1.6787,0.3111,6.8747,0.7899,0.7991,0.0001,0.8040,0.0001,0.7992,0.0004,0.8038,0.0004,20.4485,2.0219,79.5515,2.0219,19.4402,2.6231,80.5598,2.6231
393,163592.2796,21519.8589,556869.0663,50059.7992,159210.4743,26248.7813,548230.5789,51302.2979,0.0032,0.0003,0.0052,0.0004,0.0032,0.0003,0.0052,0.0005,2.7269,0.1048,5.7126,0.0392,2.7246,0.2775,6.3858,0.2129,1.5701,0.1212,6.9828,0.0969,1.5799,0.3132,8.7172,0.5727,0.7990,0.0001,0.8039,0.0001,0.7993,0.0002,0.8033,0.0004,22.6490,0.7855,77.3510,0.7855,22.4042,1.3320,77.5958,1.3320
395,150553.1675,25773.1328,514093.3819,65914.0111,141414.4265,27533.9733,505890.5325,64181.5493,0.0030,0.0004,0.0049,0.0006,0.0030,0.0004,0.0049,0.0006,2.6888,0.0928,5.6605,0.0922,2.7246,0.2332,6.2581,0.1904,1.5261,0.1049,6.8556,0.2235,1.5763,0.2713,8.3697,0.4996,0.7990,0.0001,0.8039,0.0001,0.7994,0.0003,0.8033,0.0002,22.5654,0.8606,77.4346,0.8606,21.7145,1.3732,78.2855,1.3732
397,156450.0439,18775.6661,534997.9127,46509.2444,148392.5856,24210.9497,529796.6543,46943.2071,0.0030,0.0002,0.0051,0.0004,0.0030,0.0003,0.0052,0.0005,2.7784,0.1147,5.6158,0.0615,2.6820,0.2856,6.1304,0.3808,1.6307,0.1321,6.7487,0.1470,1.5332,0.3245,8.0510,0.9671,0.7991,0.0001,0.8040,0.0001,0.7996,0.0002,0.8033,0.0003,22.5787,0.7424,77.4213,0.7424,21.7643,1.4364,78.2357,1.4364
399,155209.9919,7230.0731,569848.3063,16958.8588,143895.5944,9540.5131,564982.1469,16305.6030,0.0029,0.0001,0.0056,0.0002,0.0029,0.0001,0.0057,0.0002,2.8388,0.0624,5.5114,0.0410,2.6820,0.1904,5.7898,0.1781,1.7017,0.0751,6.5005,0.0972,1.5264,0.2204,7.1692,0.4331,0.7993,0.0001,0.8040,0.0001,0.7998,0.0003,0.8035,0.0003,21.4031,0.5996,78.5969,0.5996,20.2885,0.9020,79.7115,0.9020
401,145806.4344,16983.7464,607394.5320,28143.8448,136979.3265,25144.4782,608471.7904,27398.3697,0.0026,0.0002,0.0061,0.0002,0.0026,0.0003,0.0064,0.0002,2.9867,0.0925,5.3539,0.1016,2.6820,0.1166,5.5769,0.2332,1.8845,0.1174,6.1347,0.2335,1.5243,0.1308,6.6570,0.5619,0.7993,0.0001,0.8039,0.0001,0.8001,0.0002,0.8036,0.0002,19.3159,1.3756,80.6841,1.3756,18.2717,2.3253,81.7283,2.3253
403,118226.0119,13939.2859,546121.4748,53479.7784,109254.3794,19546.9587,549390.1687,57390.4740,0.0021,0.0002,0.0056,0.0007,0.0021,0.0001,0.0059,0.0007,2.9868,0.1473,5.2553,0.1424,2.6075,0.5598,5.4812,0.2678,1.8866,0.1896,5.9105,0.3193,1.4878,0.6634,6.4291,0.6165,0.7993,0.0000,0.8038,0.0000,0.8002,0.0006,0.8034,0.0002,17.8284,1.7254,82.1716,1.7254,16.6029,2.4434,83.3971,2.4434
405,100596.3537,9908.5879,548318.1778,52997.6699,88150.7647,13582.7596,551174.2485,54306.8697,0.0018,0.0001,0.0058,0.0006,0.0018,0.0001,0.0061,0.0006,2.9354,0.1261,5.1208,0.0443,2.8098,0.4854,5.3215,0.2129,1.8217,0.1554,5.6091,0.0970,1.7088,0.6191,6.0586,0.4797,0.7994,0.0001,0.8038,0.0001,0.8000,0.0005,0.8035,0.0003,15.5185,0.8590,84.4815,0.8590,13.7784,1.4867,86.2216,1.4867
407,88501.9917,6171.7954,560571.9943,70499.8919,77137.1957,8204.9703,566645.7114,71039.3300,0.0016,0.0001,0.0060,0.0008,0.0015,0.0001,0.0065,0.0009,3.0109,0.0848,5.0166,0.0976,2.8523,0.5343,4.9809,0.1166,1.9160,0.1086,5.3848,0.2113,1.7693,0.6738,5.3053,0.2500,0.7995,0.0001,0.8038,0.0001,0.8001,0.0004,0.8036,0.0001,13.7334,1.3272,86.2666,1.3272,12.0807,1.6314,87.9193,1.6314
409,92337.4378,11086.7423,653300.7704,36037.9655,85375.3904,13520.0714,662267.9789,38941.5006,0.0015,0.0001,0.0071,0.0004,0.0015,0.0001,0.0075,0.0004,3.2175,0.1370,4.9471,0.0369,2.9375,0.4362,4.9384,0.2775,2.1898,0.1870,5.2345,0.0775,1.8579,0.5506,5.2240,0.5661,0.7995,0.0001,0.8038,0.0000,0.8002,0.0005,0.8035,0.0002,12.3539,0.8562,87.6461,0.8562,11.3778,1.2474,88.6222,1.2474
411,83361.0540,14205.1095,592536.7473,63911.2280,74479.5278,16040.6459,600977.3072,65454.7290,0.0014,0.0002,0.0065,0.0007,0.0014,0.0002,0.0069,0.0007,3.1439,0.1288,4.9144,0.0558,3.0652,0.4149,4.7255,0.3498,2.0907,0.1711,5.1652,0.1168,2.0172,0.5526,4.7941,0.6942,0.7996,0.0001,0.8038,0.0001,0.8002,0.0004,0.8036,0.0004,12.2671,0.8151,87.7329,0.8151,10.9270,1.2024,89.0730,1.2024
413,92004.8481,21600.9132,620282.5140,63974.3096,85298.0421,25839.8866,628865.2139,64810.7949,0.0016,0.0003,0.0067,0.0007,0.0016,0.0003,0.0071,0.0006,3.1253,0.1950,4.9593,0.0119,3.2461,0.7245,4.8958,0.3010,2.0689,0.2551,5.2597,0.0260,2.3085,1.0560,5.1373,0.6410,0.7995,0.0001,0.8038,0.0001,0.7998,0.0008,0.8036,0.0002,12.7923,1.5802,87.2077,1.5802,11.7785,2.2911,88.2215,2.2911
415,88914.5914,15896.5308,568565.1990,48368.5354,76806.7224,16230.0436,573504.3775,47822.8102,0.0015,0.0003,0.0062,0.0005,0.0015,0.0003,0.0065,0.0006,3.1335,0.3082,4.9306,0.0552,4.3424,0.7763,4.7681,0.1904,2.0901,0.4249,5.2007,0.1157,4.0750,1.4745,4.8683,0.3813,0.7996,0.0001,0.8038,0.0001,0.7989,0.0006,0.8038,0.0001,13.4475,1.2465,86.5525,1.2465,11.7626,1.8468,88.2374,1.8468
417,100148.0773,30811.9355,567375.6811,70102.2792,87880.2787,40496.6880,573915.4298,71187.7785,0.0017,0.0004,0.0061,0.0007,0.0017,0.0005,0.0064,0.0007,3.0973,0.1946,4.9965,0.0801,4.4701,0.4598,4.6829,0.0000,2.0321,0.2588,5.3415,0.1731,4.2432,0.8350,4.6915,0.0000,0.7995,0.0001,0.8039,0.0000,0.7987,0.0005,0.8039,0.0000,14.7573,2.1856,85.2427,2.1856,12.8414,3.4846,87.1586,3.4846
