Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
383,38594.7101,10111.6952,645255.3480,51820.8787,28267.2653,14934.9022,657071.1239,52119.7306,0.0006,0.0001,0.0074,0.0006,0.0007,0.0001,0.0078,0.0006,3.3115,0.4764,4.6908,0.0487,4.8958,0.6731,4.2998,0.4615,2.3578,0.6768,4.7056,0.0986,5.1350,1.3216,3.9897,0.8596,0.8000,0.0001,0.8037,0.0001,0.7993,0.0005,0.8038,0.0004,5.6373,1.3718,94.3627,1.3718,4.1192,2.0993,95.8808,2.0993
385,36131.9517,17360.6142,650831.0676,65608.7865,20551.1301,24154.1447,663233.6090,69693.2250,0.0006,0.0001,0.0075,0.0007,0.0006,0.0002,0.0079,0.0008,3.1154,0.7687,4.6770,0.0316,4.8532,0.8699,4.5126,0.3157,2.1537,1.1573,4.6793,0.0621,5.1055,1.7469,4.3699,0.5982,0.8001,0.0002,0.8039,0.0001,0.7998,0.0005,0.8036,0.0004,5.1250,1.8815,94.8750,1.8815,2.7361,2.9438,97.2639,2.9438
387,39697.6167,8658.3346,638989.4591,58328.7858,28252.8113,12356.3663,652843.7035,58211.1851,0.0007,0.0001,0.0073,0.0006,0.0007,0.0001,0.0077,0.0006,3.2086,0.2779,4.6931,0.0442,5.2364,0.5343,4.4701,0.2607,2.1907,0.3755,4.7121,0.0872,5.8296,1.1598,4.2847,0.4827,0.8000,0.0003,0.8039,0.0001,0.7990,0.0003,0.8038,0.0004,5.8048,0.7607,94.1952,0.7607,4.0588,1.4694,95.9412,1.4694
389,49192.7889,10446.7258,653914.8557,26479.7429,42330.1974,15442.8875,666081.6295,30122.8610,0.0008,0.0002,0.0074,0.0004,0.0009,0.0001,0.0077,0.0005,3.1332,0.1687,4.7420,0.0650,3.6186,0.3982,4.5126,0.3498,2.0796,0.2222,4.8107,0.1313,2.7929,0.5862,4.3763,0.6638,0.7998,0.0003,0.8039,0.0002,0.7996,0.0005,0.8038,0.0004,7.0141,1.5874,92.9859,1.5874,5.9914,2.2670,94.0086,2.2670
391,48838.4204,7296.7775,651641.0982,25838.0263,41963.8923,12772.2566,662518.8883,24498.5458,0.0008,0.0001,0.0074,0.0003,0.0009,0.0001,0.0077,0.0003,3.1996,0.3290,4.7357,0.0418,4.5552,0.8594,4.5978,0.1166,2.1825,0.4618,4.7974,0.0837,4.5026,1.6632,4.5215,0.2281,0.7998,0.0002,0.8038,0.0001,0.7992,0.0004,0.8036,0.0000,6.9546,0.8272,93.0454,0.8272,5.9136,1.5787,94.0864,1.5787
393,46769.4180,6864.7704,600870.9483,35684.6843,37043.9330,7909.9717,610329.7954,36940.3443,0.0009,0.0001,0.0068,0.0004,0.0009,0.0002,0.0070,0.0004,2.8645,0.1812,4.7800,0.0732,3.5335,0.2427,4.5552,0.3562,1.7389,0.2132,4.8879,0.1495,2.6466,0.3559,4.4597,0.6823,0.7996,0.0001,0.8038,0.0001,0.7995,0.0005,0.8038,0.0003,7.1974,0.6884,92.8026,0.6884,5.6857,0.8978,94.3143,0.8978
395,53147.0646,6657.0012,627403.4332,28822.1958,43763.5612,10243.3617,635841.1358,29346.6180,0.0010,0.0001,0.0070,0.0003,0.0010,0.0000,0.0073,0.0004,2.9165,0.2488,4.8204,0.0311,3.3632,0.5300,5.0235,0.2856,1.8077,0.3051,4.9720,0.0640,2.4383,0.7209,5.4058,0.6090,0.7996,0.0001,0.8039,0.0001,0.7998,0.0002,0.8035,0.0004,7.7966,0.7175,92.2034,0.7175,6.3964,1.1726,93.6036,1.1726
397,56337.9396,4091.7050,644808.1049,28804.3243,48167.9573,6237.6177,654195.1936,28453.2442,0.0010,0.0001,0.0072,0.0004,0.0011,0.0001,0.0075,0.0004,2.9287,0.2467,4.8052,0.0695,3.6612,0.5510,4.6829,0.2607,1.8219,0.3225,4.9384,0.1432,2.8795,0.8653,4.6994,0.5075,0.7995,0.0002,0.8037,0.0001,0.7994,0.0008,0.8036,0.0003,8.0493,0.7450,91.9507,0.7450,6.8654,0.9236,93.1346,0.9236
399,55831.2398,12272.0331,614017.3373,46687.1136,47668.6440,18327.2840,622266.6618,46668.7935,0.0010,0.0002,0.0069,0.0005,0.0011,0.0002,0.0071,0.0005,2.9331,0.3121,4.8117,0.0876,3.7463,0.3562,4.9809,0.2427,1.8341,0.3755,4.9536,0.1800,2.9838,0.5450,5.3098,0.5181,0.7996,0.0002,0.8038,0.0001,0.7993,0.0002,0.8034,0.0002,8.2647,1.3100,91.7353,1.3100,6.9511,2.3452,93.0489,2.3452
401,55488.3451,11657.0156,618671.8206,43927.4554,45306.8187,20628.5504,628103.5616,46036.3196,0.0010,0.0001,0.0069,0.0004,0.0010,0.0001,0.0072,0.0004,2.9662,0.3952,4.8195,0.0556,3.5761,0.5510,4.5552,0.1904,1.8843,0.5148,4.9671,0.1148,2.7506,0.8120,4.4426,0.3639,0.7994,0.0001,0.8037,0.0000,0.7994,0.0005,0.8037,0.0001,8.1661,1.0345,91.8339,1.0345,6.5540,2.2894,93.4460,2.2894
