Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
262,1098.4434,4916.0371,608230.3051,33176.7313,-9006.1022,7563.8085,623206.1189,32827.4798,0.0003,0.0001,0.0072,0.0004,0.0004,0.0001,0.0076,0.0003,3.4083,0.3564,4.5172,0.0182,5.4067,1.1423,4.2146,0.0952,2.4863,0.5017,4.3639,0.0343,6.4130,2.6121,3.7994,0.1678,0.8010,0.0004,0.8038,0.0001,0.8009,0.0013,0.8037,0.0001,0.1612,0.8070,99.8388,0.8070,-1.5161,1.2957,101.5161,1.2957
264,781.7458,5242.6906,637989.2806,36323.9437,-11180.4981,5837.3875,653916.3632,36451.7272,0.0004,0.0001,0.0075,0.0004,0.0004,0.0000,0.0079,0.0004,2.2575,2.7512,4.5504,0.0179,6.3007,1.0052,4.4275,0.3498,2.3659,0.5587,4.4284,0.0364,8.5775,2.6128,4.2113,0.6685,0.8010,0.0002,0.8038,0.0001,0.8004,0.0007,0.8036,0.0002,0.1095,0.8409,99.8905,0.8409,-1.7477,0.9439,101.7477,0.9439
266,1868.7388,5147.9097,633441.9024,57425.0030,-10382.8713,9493.3326,647505.9984,59020.0797,0.0004,0.0001,0.0075,0.0006,0.0004,0.0001,0.0079,0.0007,3.4515,0.4774,4.5641,0.0381,5.9601,0.8514,4.1721,0.2427,2.5657,0.7281,4.4559,0.0743,7.6471,2.3232,3.7341,0.4282,0.8009,0.0003,0.8038,0.0000,0.8006,0.0004,0.8039,0.0002,0.2632,0.8145,99.7368,0.8145,-1.7248,1.6410,101.7248,1.6410
268,-1994.6526,5804.5109,582920.5110,36497.8614,-11286.4456,5640.7765,597443.9804,36822.0574,0.0003,0.0001,0.0069,0.0004,0.0004,0.0000,0.0073,0.0004,3.1105,0.4749,4.5291,0.0572,5.0235,1.1620,4.1721,0.1904,2.0896,0.6555,4.3881,0.1105,5.5851,2.2896,3.7302,0.3420,0.8008,0.0003,0.8038,0.0002,0.8013,0.0008,0.8039,0.0004,-0.3942,1.0006,100.3942,1.0006,-1.9516,0.9627,101.9516,0.9627
270,9883.8668,9506.3615,638236.4001,49659.9364,1027.1394,15753.5890,653059.9040,50935.5369,0.0004,0.0001,0.0075,0.0005,0.0005,0.0001,0.0079,0.0006,3.7991,0.8437,4.5614,0.0536,6.1730,1.0428,4.2146,0.2332,3.1821,1.3189,4.4498,0.1053,8.2338,2.7030,3.8070,0.4096,0.8009,0.0003,0.8037,0.0001,0.7998,0.0010,0.8037,0.0002,1.4898,1.4532,98.5102,1.4532,0.0531,2.4757,99.9469,2.4757
272,4421.4030,11159.2306,614893.0715,35885.6132,-3523.7950,9683.5972,629133.0758,38363.7253,0.0004,0.0001,0.0072,0.0004,0.0004,0.0001,0.0076,0.0004,2.3696,2.8766,4.5662,0.0460,6.0027,0.7435,4.4275,0.2332,2.5940,0.6129,4.4601,0.0902,7.7177,1.9831,4.1992,0.4447,0.8008,0.0003,0.8038,0.0001,0.8003,0.0013,0.8036,0.0001,0.6307,1.7301,99.3693,1.7301,-0.6224,1.4680,100.6224,1.4680
274,3505.6117,5979.4155,624374.9866,25781.0375,-7563.8690,9885.4072,636317.0109,26065.9848,0.0004,0.0001,0.0073,0.0003,0.0004,0.0001,0.0077,0.0004,3.5037,0.4733,4.5843,0.0359,4.7361,1.2697,4.5233,0.2038,2.6389,0.6783,4.4951,0.0707,5.0124,2.8306,4.3780,0.3889,0.8009,0.0002,0.8038,0.0000,0.8013,0.0012,0.8034,0.0001,0.5518,0.9729,99.4482,0.9729,-1.2225,1.6395,101.2225,1.6395
276,2973.8234,10384.7948,622034.7928,34435.5619,-8357.3498,13726.0923,634136.7776,35882.7085,0.0004,0.0001,0.0073,0.0003,0.0004,0.0001,0.0077,0.0003,1.0026,3.5920,4.5685,0.0568,6.2581,1.0707,4.1721,0.2427,2.4007,1.1259,4.4648,0.1114,8.4672,2.7753,3.7340,0.4264,0.8007,0.0003,0.8038,0.0001,0.7997,0.0005,0.8039,0.0004,0.4345,1.6217,99.5655,1.6217,-1.4024,2.1842,101.4024,2.1842
278,2503.0334,6568.6302,612606.9111,61452.8014,-7435.8229,8276.2625,626279.1810,63546.3569,0.0004,0.0001,0.0072,0.0007,0.0004,0.0001,0.0076,0.0008,2.1961,2.6917,4.5618,0.0551,5.3641,1.3070,4.3424,0.1166,2.2512,0.6094,4.4505,0.1071,6.3832,3.0338,4.0332,0.2162,0.8007,0.0005,0.8037,0.0001,0.8007,0.0009,0.8036,0.0002,0.3518,1.0467,99.6482,1.0467,-1.2911,1.4187,101.2911,1.4187
280,5169.2160,11799.1778,660814.0696,48320.1051,-5145.1811,14910.9279,675643.2238,51793.3156,0.0004,0.0001,0.0078,0.0005,0.0005,0.0001,0.0082,0.0006,3.5817,0.7733,4.5784,0.0282,5.1512,1.5305,4.3424,0.3228,2.8211,1.2314,4.4839,0.0549,6.0067,3.2422,4.0509,0.5830,0.8007,0.0002,0.8038,0.0001,0.8006,0.0017,0.8038,0.0002,0.7377,1.8099,99.2623,1.8099,-0.8238,2.2987,100.8238,2.2987
