Parameter,atoms_UP_Fit,atoms_UP_Fit_Std,atoms_DW_Fit,atoms_DW_Fit_Std,atoms_UP_Raw,atoms_UP_Raw_Std,atoms_DW_Raw,atoms_DW_Raw_Std,amp_UP_Fit,amp_UP_Fit_Std,amp_DW_Fit,amp_DW_Fit_Std,amp_UP_Raw,amp_UP_Raw_Std,amp_DW_Raw,amp_DW_Raw_Std,sigma_UP_Fit,sigma_UP_Fit_Std,sigma_DW_Fit,sigma_DW_Fit_Std,sigma_UP_Raw,sigma_UP_Raw_Std,sigma_DW_Raw,sigma_DW_Raw_Std,temp_UP_Fit,temp_UP_Fit_Std,temp_DW_Fit,temp_DW_Fit_Std,temp_UP_Raw,temp_UP_Raw_Std,temp_DW_Raw,temp_DW_Raw_Std,arrival_UP_Fit,arrival_UP_Fit_Std,arrival_DW_Fit,arrival_DW_Fit_Std,arrival_UP_Raw,arrival_UP_Raw_Std,arrival_DW_Raw,arrival_DW_Raw_Std,prob_UP_Fit,prob_UP_Fit_Std,prob_DW_Fit,prob_DW_Fit_Std,prob_UP_Raw,prob_UP_Raw_Std,prob_DW_Raw,prob_DW_Raw_Std
1,189788.9904,0.0000,774842.5179,0.0000,184927.3995,0.0000,771545.9216,0.0000,0.0035,0.0000,0.0073,0.0000,0.0035,0.0000,0.0074,0.0000,2.9160,0.0000,5.7080,0.0000,3.2283,0.0000,5.9001,0.0000,1.7904,0.0000,6.9646,0.0000,2.1937,0.0000,7.4326,0.0000,0.7985,0.0000,0.8036,0.0000,0.7984,0.0000,0.8032,0.0000,19.6748,0.0000,80.3252,0.0000,19.3343,0.0000,80.6657,0.0000
2,183691.9021,0.0000,782486.5913,0.0000,182852.5490,0.0000,772999.9431,0.0000,0.0034,0.0000,0.0073,0.0000,0.0035,0.0000,0.0072,0.0000,2.9054,0.0000,5.7643,0.0000,3.6736,0.0000,5.9001,0.0000,1.7770,0.0000,7.1009,0.0000,2.8357,0.0000,7.4355,0.0000,0.7984,0.0000,0.8035,0.0000,0.7978,0.0000,0.8033,0.0000,19.0122,0.0000,80.9878,0.0000,19.1298,0.0000,80.8702,0.0000
3,201498.9931,0.0000,747865.6435,0.0000,197969.0650,0.0000,740324.6045,0.0000,0.0038,0.0000,0.0069,0.0000,0.0039,0.0000,0.0068,0.0000,2.8515,0.0000,5.8286,0.0000,3.1727,0.0000,6.0671,0.0000,1.7120,0.0000,7.2598,0.0000,2.1175,0.0000,7.8608,0.0000,0.7985,0.0000,0.8035,0.0000,0.7982,0.0000,0.8033,0.0000,21.2246,0.0000,78.7754,0.0000,21.0988,0.0000,78.9012,0.0000
4,192490.7008,0.0000,754195.8808,0.0000,178266.9335,0.0000,748101.9041,0.0000,0.0037,0.0000,0.0070,0.0000,0.0037,0.0000,0.0069,0.0000,2.7977,0.0000,5.7940,0.0000,2.7831,0.0000,6.1784,0.0000,1.6478,0.0000,7.1742,0.0000,1.6319,0.0000,8.1488,0.0000,0.7984,0.0000,0.8035,0.0000,0.7987,0.0000,0.8032,0.0000,20.3331,0.0000,79.6669,0.0000,19.2436,0.0000,80.7564,0.0000
5,200255.8182,0.0000,735424.6168,0.0000,186150.4442,0.0000,719967.2852,0.0000,0.0038,0.0000,0.0067,0.0000,0.0038,0.0000,0.0065,0.0000,2.8340,0.0000,5.9028,0.0000,2.9500,0.0000,6.0671,0.0000,1.6910,0.0000,7.4475,0.0000,1.8332,0.0000,7.8653,0.0000,0.7985,0.0000,0.8036,0.0000,0.7986,0.0000,0.8035,0.0000,21.4022,0.0000,78.5978,0.0000,20.5437,0.0000,79.4563,0.0000
6,210805.4909,0.0000,750785.4480,0.0000,195691.6847,0.0000,735910.4474,0.0000,0.0040,0.0000,0.0069,0.0000,0.0040,0.0000,0.0068,0.0000,2.8341,0.0000,5.8514,0.0000,3.0614,0.0000,6.4567,0.0000,1.6910,0.0000,7.3174,0.0000,1.9734,0.0000,8.8927,0.0000,0.7984,0.0000,0.8035,0.0000,0.7985,0.0000,0.8029,0.0000,21.9226,0.0000,78.0774,0.0000,21.0059,0.0000,78.9941,0.0000
7,211408.7413,0.0000,747152.9733,0.0000,204533.3829,0.0000,738416.9281,0.0000,0.0039,0.0000,0.0068,0.0000,0.0039,0.0000,0.0066,0.0000,2.9151,0.0000,5.9087,0.0000,3.3397,0.0000,5.7888,0.0000,1.7892,0.0000,7.4625,0.0000,2.3472,0.0000,7.1698,0.0000,0.7985,0.0000,0.8036,0.0000,0.7983,0.0000,0.8039,0.0000,22.0548,0.0000,77.9452,0.0000,21.6908,0.0000,78.3092,0.0000
8,207192.9301,0.0000,746967.4790,0.0000,200494.6011,0.0000,738174.8806,0.0000,0.0039,0.0000,0.0069,0.0000,0.0038,0.0000,0.0067,0.0000,2.8569,0.0000,5.8216,0.0000,3.2840,0.0000,6.4010,0.0000,1.7189,0.0000,7.2429,0.0000,2.2696,0.0000,8.7417,0.0000,0.7985,0.0000,0.8035,0.0000,0.7983,0.0000,0.8030,0.0000,21.7147,0.0000,78.2853,0.0000,21.3594,0.0000,78.6406,0.0000
9,196909.1922,0.0000,773677.6413,0.0000,196522.6381,0.0000,765318.8235,0.0000,0.0037,0.0000,0.0072,0.0000,0.0038,0.0000,0.0071,0.0000,2.8619,0.0000,5.7785,0.0000,3.3953,0.0000,6.1227,0.0000,1.7246,0.0000,7.1372,0.0000,2.4247,0.0000,8.0042,0.0000,0.7985,0.0000,0.8036,0.0000,0.7981,0.0000,0.8032,0.0000,20.2876,0.0000,79.7124,0.0000,20.4319,0.0000,79.5681,0.0000
10,216670.9234,0.0000,735658.9522,0.0000,210840.8993,0.0000,728326.7205,0.0000,0.0041,0.0000,0.0066,0.0000,0.0042,0.0000,0.0064,0.0000,2.8419,0.0000,5.9941,0.0000,2.5048,0.0000,6.4567,0.0000,1.7006,0.0000,7.6795,0.0000,1.3234,0.0000,8.8995,0.0000,0.7985,0.0000,0.8036,0.0000,0.7991,0.0000,0.8032,0.0000,22.7517,0.0000,77.2483,0.0000,22.4498,0.0000,77.5502,0.0000
11,218811.8668,0.0000,742151.9841,0.0000,213195.4749,0.0000,733205.3761,0.0000,0.0041,0.0000,0.0067,0.0000,0.0041,0.0000,0.0066,0.0000,2.8700,0.0000,5.9567,0.0000,2.8944,0.0000,6.2897,0.0000,1.7343,0.0000,7.5845,0.0000,1.7657,0.0000,8.4499,0.0000,0.7985,0.0000,0.8036,0.0000,0.7988,0.0000,0.8033,0.0000,22.7700,0.0000,77.2300,0.0000,22.5270,0.0000,77.4730,0.0000
12,217146.2607,0.0000,745982.4288,0.0000,205103.5148,0.0000,727615.3846,0.0000,0.0042,0.0000,0.0068,0.0000,0.0043,0.0000,0.0065,0.0000,2.7803,0.0000,5.8994,0.0000,3.0614,0.0000,6.1227,0.0000,1.6278,0.0000,7.4398,0.0000,1.9734,0.0000,8.0133,0.0000,0.7985,0.0000,0.8036,0.0000,0.7985,0.0000,0.8036,0.0000,22.5459,0.0000,77.4541,0.0000,21.9899,0.0000,78.0101,0.0000
13,218825.2035,0.0000,743065.8674,0.0000,206327.4133,0.0000,726185.2250,0.0000,0.0042,0.0000,0.0068,0.0000,0.0042,0.0000,0.0065,0.0000,2.8018,0.0000,5.8764,0.0000,3.2283,0.0000,5.8444,0.0000,1.6528,0.0000,7.3806,0.0000,2.1925,0.0000,7.3042,0.0000,0.7985,0.0000,0.8036,0.0000,0.7982,0.0000,0.8037,0.0000,22.7495,0.0000,77.2505,0.0000,22.1260,0.0000,77.8740,0.0000
14,215208.6465,0.0000,735802.2494,0.0000,202362.2853,0.0000,719861.7764,0.0000,0.0042,0.0000,0.0067,0.0000,0.0043,0.0000,0.0065,0.0000,2.7555,0.0000,5.9058,0.0000,3.1727,0.0000,6.3454,0.0000,1.5986,0.0000,7.4548,0.0000,2.1171,0.0000,8.6002,0.0000,0.7985,0.0000,0.8036,0.0000,0.7981,0.0000,0.8033,0.0000,22.6295,0.0000,77.3705,0.0000,21.9429,0.0000,78.0571,0.0000
15,230934.1865,0.0000,740067.3424,0.0000,225478.2232,0.0000,733155.4326,0.0000,0.0043,0.0000,0.0067,0.0000,0.0043,0.0000,0.0065,0.0000,2.8881,0.0000,5.9400,0.0000,3.1170,0.0000,6.2340,0.0000,1.7561,0.0000,7.5405,0.0000,2.0451,0.0000,8.3010,0.0000,0.7984,0.0000,0.8035,0.0000,0.7984,0.0000,0.8033,0.0000,23.7831,0.0000,76.2169,0.0000,23.5208,0.0000,76.4792,0.0000
16,223683.1018,0.0000,769445.8027,0.0000,217991.9864,0.0000,761967.9255,0.0000,0.0042,0.0000,0.0070,0.0000,0.0042,0.0000,0.0069,0.0000,2.8640,0.0000,5.9111,0.0000,3.0614,0.0000,6.1784,0.0000,1.7270,0.0000,7.4677,0.0000,1.9738,0.0000,8.1519,0.0000,0.7985,0.0000,0.8035,0.0000,0.7986,0.0000,0.8033,0.0000,22.5231,0.0000,77.4769,0.0000,22.2450,0.0000,77.7550,0.0000
17,228202.4852,0.0000,772979.1037,0.0000,225166.4956,0.0000,756487.8626,0.0000,0.0043,0.0000,0.0070,0.0000,0.0043,0.0000,0.0067,0.0000,2.8539,0.0000,5.9383,0.0000,3.1727,0.0000,6.7350,0.0000,1.7153,0.0000,7.5370,0.0000,2.1183,0.0000,9.6721,0.0000,0.7985,0.0000,0.8036,0.0000,0.7983,0.0000,0.8028,0.0000,22.7933,0.0000,77.2067,0.0000,22.9375,0.0000,77.0625,0.0000
18,191934.6310,0.0000,753943.3664,0.0000,180983.4255,0.0000,749713.1676,0.0000,0.0037,0.0000,0.0071,0.0000,0.0037,0.0000,0.0071,0.0000,2.7896,0.0000,5.7105,0.0000,3.3397,0.0000,5.7888,0.0000,1.6387,0.0000,6.9697,0.0000,2.3458,0.0000,7.1616,0.0000,0.7985,0.0000,0.8036,0.0000,0.7981,0.0000,0.8035,0.0000,20.2917,0.0000,79.7083,0.0000,19.4460,0.0000,80.5540,0.0000
19,208609.1347,0.0000,729388.2262,0.0000,201234.7365,0.0000,715224.2401,0.0000,0.0040,0.0000,0.0067,0.0000,0.0040,0.0000,0.0065,0.0000,2.8046,0.0000,5.8543,0.0000,3.0057,0.0000,5.9001,0.0000,1.6564,0.0000,7.3255,0.0000,1.9023,0.0000,7.4426,0.0000,0.7985,0.0000,0.8036,0.0000,0.7985,0.0000,0.8037,0.0000,22.2398,0.0000,77.7602,0.0000,21.9579,0.0000,78.0421,0.0000
