tau_s,allan_deviation,allan_error,num_pairs
6.008522999999969,1.0551068965102342e-05,1.4595257416288827e-07,5226.0
12.017045999999938,6.6312825168401695e-06,9.174786073732506e-08,5224.0
24.034091999999877,3.5259288413305736e-06,4.880207542640648e-08,5220.0
48.068183999999754,1.796451247961172e-06,2.488360119174109e-08,5212.0
96.13636799999951,9.240109766340041e-07,1.281865795287792e-08,5196.0
192.27273599999901,4.6473685349991925e-07,6.467165819254567e-09,5164.0
384.54547199999803,2.425531302129477e-07,3.396423175558433e-09,5100.0
769.0909439999961,1.2609463932598302e-07,1.7882616530847355e-09,4972.0
1538.1818879999921,6.854204892962446e-08,9.980911033612041e-10,4716.0
3076.3637759999842,3.89373661613384e-08,6.005307047922077e-10,4204.0
6152.7275519999685,2.3576332021779598e-08,4.18083163916056e-10,3180.0
12305.455103999937,1.1261946317184774e-08,3.347266102041424e-10,1132.0
