time_s,value,kept
6.400994,835893664.0,1
12.412472,835809998.0,1
18.41912,835843331.0,1
24.416105,835922998.0,1
30.420129,835868331.0,1
36.421111,835939664.0,1
42.435553,835932331.0,1
48.432531,835834998.0,1
54.435062,835859998.0,1
60.436333,835916664.0,1
66.446305,835868998.0,1
72.449739,835865998.0,1
78.446752,835844998.0,1
84.453858,835901664.0,1
90.47028,835965664.0,1
96.496372,835993664.0,1
102.496516,835858664.0,1
108.497828,835941664.0,1
114.501754,835843331.0,1
120.513247,835793331.0,1
126.514534,835942664.0,1
132.509529,835862664.0,1
138.514064,835880331.0,1
144.521645,835836664.0,1
150.516529,835853331.0,1
156.532042,835929331.0,1
162.54656,835948998.0,1
168.558082,835948998.0,1
174.658862,835958331.0,1
180.66497,835847998.0,1
186.668287,835847998.0,1
192.665524,835877331.0,1
198.66624,835954331.0,1
204.670239,835957331.0,1
210.669553,835991664.0,1
216.672372,835946998.0,1
222.669999,835890664.0,1
228.667433,835921998.0,1
234.665613,835817998.0,1
240.67452,835891998.0,1
246.67721,835908664.0,1
252.696897,835908331.0,1
258.704946,835818331.0,1
264.705842,835854331.0,1
270.698343,835841664.0,1
276.698702,835907331.0,1
282.704399,835882331.0,1
288.720949,835820998.0,1
294.734328,835834998.0,1
300.735436,835856331.0,1
306.73076,835945998.0,1
312.735384,835900331.0,1
318.75309,835898998.0,1
324.75846,835818331.0,1
330.771559,835894998.0,1
336.777014,835821998.0,1
342.782094,835826664.0,1
348.794835,835802331.0,1
354.794096,835833664.0,1
360.794529,835875331.0,1
366.893034,835852331.0,1
372.905329,835801664.0,1
378.90914,835801664.0,1
384.920057,835838664.0,1
390.920459,835904331.0,1
396.922473,835796998.0,1
402.93748,835886664.0,1
408.949959,835854331.0,1
414.948101,835907331.0,1
420.955569,835903331.0,1
426.965843,835896998.0,1
432.964294,835835664.0,1
438.965427,835876331.0,1
444.96313,835801664.0,1
450.970173,835867998.0,1
456.966829,835776664.0,1
462.978787,835820998.0,1
468.983359,835851998.0,1
474.98295,835903331.0,1
480.992181,835884331.0,1
487.00022,835776664.0,1
493.003961,835919664.0,1
499.002853,835909664.0,1
504.99969,835905331.0,1
511.003143,835799998.0,1
517.019578,835923998.0,1
523.026544,835759998.0,1
529.0269,835766998.0,1
535.030457,835862664.0,1
541.033445,835822331.0,1
547.033921,835867664.0,1
553.051446,835838664.0,1
559.061623,835809331.0,1
565.076983,835809331.0,1
571.077642,835773998.0,1
577.099828,835802331.0,1
583.112444,835855331.0,1
589.1221,835786331.0,1
595.130807,835734998.0,1
601.137516,835821998.0,1
607.13643,835786331.0,1
613.135203,835817998.0,1
619.140673,835769998.0,1
625.153498,835879331.0,1
631.15856,835893998.0,1
637.181659,835743331.0,1
643.182254,835829331.0,1
649.188503,835782664.0,1
655.191279,835718331.0,1
661.1855,835811664.0,1
667.18272,835801664.0,1
673.182229,835766998.0,1
679.180495,835818331.0,1
685.187157,835784331.0,1
691.200223,835825331.0,1
697.198139,835848998.0,1
703.204669,835839664.0,1
709.221239,835876664.0,1
715.235821,835852331.0,1
721.23234,835868331.0,1
727.23342,835878331.0,1
733.247356,835852998.0,1
739.247363,835866998.0,1
745.246552,835868331.0,1
751.32937,835913664.0,1
757.339229,835887331.0,1
763.33806,835887331.0,1
769.338275,835843331.0,1
775.3462,835811664.0,1
781.369001,835813664.0,1
787.374398,835880331.0,1
793.370898,835826331.0,1
799.378147,835850331.0,1
805.373848,835768998.0,1
811.374766,835905331.0,1
817.38658,835829331.0,1
823.391683,835910331.0,1
829.404365,835925998.0,1
835.404123,835843331.0,1
841.405231,835845998.0,1
847.411695,835842664.0,1
853.416509,835941998.0,1
859.41651,835909998.0,1
865.417765,835843331.0,1
871.425228,835888664.0,1
877.432622,835874998.0,1
883.433315,835884331.0,1
889.440403,835834998.0,1
895.461264,835900998.0,1
901.449421,835918998.0,1
907.448935,835896998.0,1
913.448486,835809998.0,1
919.455061,835853331.0,1
925.472627,835874998.0,1
931.486354,835904331.0,1
937.496378,835954331.0,1
943.5535,835801664.0,1
949.559878,835909998.0,1
955.565359,835909998.0,1
961.575281,835945998.0,1
967.572959,835920998.0,1
973.572011,835834998.0,1
979.572145,835953998.0,1
985.575955,835826664.0,1
991.585395,835909664.0,1
997.58969,835825998.0,1
1003.596065,835927331.0,1
1009.591212,835837664.0,1
1015.588549,835870998.0,1
1021.591706,835764664.0,1
1027.589915,835816664.0,1
1033.596828,835834998.0,1
1039.603009,835893664.0,1
1045.605865,835838664.0,1
1051.601968,835857664.0,1
1057.604782,835776664.0,1
1063.610228,835816664.0,1
1069.632798,835812664.0,1
1075.634224,835801664.0,1
1081.634427,835856331.0,1
1087.643069,835882331.0,1
1093.655406,835820998.0,1
1099.665884,835767998.0,1
1105.675079,835884331.0,1
1111.687027,835807331.0,1
1117.686866,835846998.0,1
1123.704528,835871998.0,1
1129.715056,835882331.0,1
1135.777024,835854998.0,1
1141.787387,835902331.0,1
1147.794028,835902331.0,1
1153.79097,835853331.0,1
1159.794427,835857664.0,1
1165.799968,835947998.0,1
1171.814651,835921998.0,1
1177.823671,835801664.0,1
1183.824601,835871998.0,1
1189.830993,835897998.0,1
1195.83644,835931664.0,1
1201.83554,835867998.0,1
1207.836555,835840664.0,1
1213.836857,835768331.0,1
1219.839045,835861664.0,1
1225.839334,835879331.0,1
1231.836087,835890664.0,1
1237.848423,835827331.0,1
1243.850753,835853331.0,1
1249.851931,835814998.0,1
1255.856069,835818664.0,1
1261.853919,835759998.0,1
1267.851847,835834998.0,1
1273.85359,835845998.0,1
1279.859092,835861664.0,1
1285.853994,835862331.0,1
1291.856706,835800998.0,1
1297.852343,835781331.0,1
1303.852994,835825331.0,1
1309.855765,835826664.0,1
1315.85967,835844998.0,1
1321.851468,835851664.0,1
1327.859991,835836664.0,1
1333.854814,835836664.0,1
1339.851605,835914664.0,1
1345.857425,835893331.0,1
1351.851774,835895998.0,1
1357.851995,835859331.0,1
1363.855021,835904331.0,1
1369.851409,835921998.0,1
1375.854055,835966664.0,1
1381.855135,835907664.0,1
1387.854819,835946998.0,1
1393.852913,835862664.0,1
1399.857464,835809998.0,1
1405.855231,835896998.0,1
1411.855808,835966664.0,1
1417.856468,835857331.0,1
1423.850909,835909998.0,1
1429.852949,835922998.0,1
1435.853775,835949331.0,1
1441.851875,835918664.0,1
1447.852995,835834998.0,1
1453.851341,835918331.0,1
1459.853635,835818331.0,1
1465.853756,835851664.0,1
1471.852322,835900998.0,1
1477.860081,835843331.0,1
1483.85089,835776664.0,1
1489.859424,835796998.0,1
1495.85616,835846664.0,1
1501.851967,835896998.0,1
1507.855316,835859998.0,1
1513.856436,835839664.0,1
1519.856037,835839664.0,1
1525.86169,835915664.0,1
1531.860998,835847998.0,1
1537.860246,835834998.0,1
1543.858368,835818331.0,1
1549.856102,835928331.0,1
1555.854875,835843331.0,1
1561.855337,835870998.0,1
1567.85439,835914664.0,1
1573.857097,835809998.0,1
1579.852692,835840664.0,1
1585.851381,835801664.0,1
1591.851789,835801664.0,1
1597.85408,835861664.0,1
1603.851709,835847998.0,1
1609.864824,835864664.0,1
1615.874402,835834998.0,1
1621.869181,835879331.0,1
1627.867737,835780331.0,1
1633.868481,835849998.0,1
1639.867533,835759998.0,1
1645.872564,835817998.0,1
1651.873023,835854331.0,1
1657.875134,835836664.0,1
1663.884058,835816664.0,1
1669.88261,835842664.0,1
1675.888834,835843331.0,1
1681.882706,835768331.0,1
1687.883179,835889664.0,1
1693.883023,835807331.0,1
1699.885001,835827331.0,1
1705.886304,835827331.0,1
1711.89048,835845998.0,1
1717.904571,835805331.0,1
1723.901149,835772998.0,1
1729.906895,835751664.0,1
1735.92386,835854331.0,1
1741.923013,835873998.0,1
1747.922942,835907664.0,1
1753.937997,835868331.0,1
1759.930258,835831664.0,1
1765.936507,835847998.0,1
1771.931192,835805331.0,1
1777.936869,835801664.0,1
1783.933768,835832331.0,1
1789.930139,835874331.0,1
1795.936003,835843331.0,1
1801.931069,835751664.0,1
1807.930039,835779331.0,1
1813.936916,835851664.0,1
1819.938248,835783331.0,1
1825.947099,835812664.0,1
1831.95111,835834664.0,1
1837.952468,835854331.0,1
1843.946181,835835664.0,1
1849.950415,835859331.0,1
1855.950125,835871998.0,1
1861.94858,835868331.0,1
1867.95002,835898998.0,1
1873.947161,835855331.0,1
1879.948816,835777331.0,1
1886.015464,835701664.0,1
1892.034137,835701664.0,1
1898.039481,835775331.0,1
1904.045043,835858331.0,1
1910.05255,835806331.0,1
1916.064988,835834998.0,1
1922.079635,835870664.0,1
1928.098196,835844331.0,1
1934.111408,835876998.0,1
1940.118624,835841664.0,1
1946.119785,835884664.0,1
1952.12305,835808331.0,1
1958.119698,835844664.0,1
1964.132559,835827331.0,1
1970.138696,835907331.0,1
1976.136473,835879664.0,1
1982.140559,835919998.0,1
1988.156712,835844664.0,1
1994.158561,835931331.0,1
2000.167536,835861664.0,1
2006.167827,835915664.0,1
2012.171624,835915998.0,1
2018.174242,835871998.0,1
2024.18448,835832331.0,1
2030.185137,835879331.0,1
2036.183576,835834998.0,1
2042.188191,835903331.0,1
2048.190267,835905331.0,1
2054.190165,835859664.0,1
2060.188092,835793331.0,1
2066.192035,835873998.0,1
2072.203033,835877331.0,1
2078.244789,835893331.0,1
2084.249222,835893331.0,1
2090.25959,835893998.0,1
2096.268823,835918331.0,1
2102.28622,835876664.0,1
2108.296852,835876664.0,1
2114.317424,835928331.0,1
2120.325944,835945998.0,1
2126.327069,835882664.0,1
2132.323976,835905664.0,1
2138.325123,835903331.0,1
2144.327046,835840664.0,1
2150.326051,835888664.0,1
2156.323175,835818998.0,1
2162.334191,835841664.0,1
2168.340483,835820998.0,1
2174.340137,835806331.0,1
2180.339205,835833331.0,1
2186.352994,835872998.0,1
2192.367597,835810664.0,1
2198.373849,835846998.0,1
2204.372021,835829331.0,1
2210.382812,835859664.0,1
2216.390698,835851664.0,1
2222.407358,835856331.0,1
2228.41124,835901331.0,1
2234.423191,835793331.0,1
2240.446419,835815998.0,1
2246.448754,835848998.0,1
2252.451898,835828331.0,1
2258.458771,835834998.0,1
2264.447477,835893998.0,1
2270.513063,835881664.0,1
2276.529101,835866664.0,1
2282.526042,835866664.0,1
2288.527057,835884998.0,1
2294.531373,835876331.0,1
2300.552407,835803331.0,1
2306.570857,835855331.0,1
2312.57391,835853331.0,1
2318.574315,835936331.0,1
2324.570391,835946998.0,1
2330.577222,836034331.0,1
2336.591881,835915998.0,1
2342.603839,835935664.0,1
2348.607498,835968998.0,1
2354.623379,835945998.0,1
2360.641259,835999998.0,1
2366.641186,835890998.0,1
2372.652941,835889664.0,1
2378.654683,835889664.0,1
2384.656315,835901664.0,1
2390.67167,835853331.0,1
2396.690364,835955331.0,1
2402.702395,835885331.0,1
2408.715815,836020998.0,1
2414.723503,835876664.0,1
2420.739133,835887664.0,1
2426.753313,835927331.0,1
2432.747309,835952331.0,1
2438.749366,835961664.0,1
2444.755219,835931331.0,1
2450.757575,835851664.0,1
2456.765959,835951664.0,1
2462.766981,835868331.0,1
2468.783433,835878331.0,1
2474.792046,835878331.0,1
2482.55268,835909664.0,1
2488.561609,835909664.0,1
2494.560946,835921998.0,1
2500.561157,835909998.0,1
