scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
0.000000000000000000e+00,3.276939640662629438e-01,2.283261968118230067e-01,3.666075191907668951e-01,2.554398608407661420e-01,1.061450000000000587e-01
5.235987755982988295e-02,3.285217064724884062e-01,2.192629770525815480e-01,3.675335557472839132e-01,2.453003865868418898e-01,1.061450000000000726e-01
1.047197551196597659e-01,3.377578406677399503e-01,2.281429807002434140e-01,3.778664779720871114e-01,2.552348878735851145e-01,1.061450000000000726e-01
1.570796326794896558e-01,3.542095202775675244e-01,2.462447149120631784e-01,3.962717893590879670e-01,2.754861973273777243e-01,1.061450000000000587e-01
2.094395102393195318e-01,3.690771513991241704e-01,2.491356047615251867e-01,4.129049469982537524e-01,2.787203794368496301e-01,1.061450000000000587e-01
2.617993877991494078e-01,3.810889466000949022e-01,2.481341381828925108e-01,4.263431390998483894e-01,2.775999890171140794e-01,1.061450000000000726e-01
3.141592653589793116e-01,4.228428092289115980e-01,2.602072530099128755e-01,4.730552597780530166e-01,2.911067824310574759e-01,1.061450000000000726e-01
3.665191429188091599e-01,4.512559675415370730e-01,2.658293509216332895e-01,5.048424717001493978e-01,2.973965027008109163e-01,1.061450000000001004e-01
4.188790204786390636e-01,4.938210937218238117e-01,2.578976880576819841e-01,5.524621932212985254e-01,2.885229573674499282e-01,1.061450000000000726e-01
4.712388980384689674e-01,5.212261427705638939e-01,2.508573273439966278e-01,5.831215832216229966e-01,2.806465560342523702e-01,1.061450000000000726e-01
5.235987755982988157e-01,5.596949345916095719e-01,2.388224719898807413e-01,6.261585319672761107e-01,2.671825653935825939e-01,1.061450000000000726e-01
5.759586531581286639e-01,5.815870266446502290e-01,2.378205127185722134e-01,6.506503030633047358e-01,2.660616237740709988e-01,1.061450000000000865e-01
6.283185307179586232e-01,6.033936618832241860e-01,2.286777204005108199e-01,6.750464693750377609e-01,2.558331277450043295e-01,1.061450000000000726e-01
6.806784082777884715e-01,5.931449400475649059e-01,2.385508430798194413e-01,6.635807150461371373e-01,2.668786806359190744e-01,1.061450000000000726e-01
7.330382858376183197e-01,5.988802293907958818e-01,2.321790212435504153e-01,6.699970681942774009e-01,2.597502069614763820e-01,1.061450000000000726e-01
7.853981633974482790e-01,6.105089053467566140e-01,2.209076879300552465e-01,6.830066457610647346e-01,2.471404063635100345e-01,1.061450000000000587e-01
8.377580409572781273e-01,6.029650974083929915e-01,2.267097252647819472e-01,6.745670130036673928e-01,2.536314338061340656e-01,1.061450000000000726e-01
8.901179185171079755e-01,5.897899791874484654e-01,2.379838747211462102e-01,6.598273536395148353e-01,2.662443849630490855e-01,1.061450000000000865e-01
9.424777960769379348e-01,5.825805025168822038e-01,2.429566825982675815e-01,6.517617538827686907e-01,2.718077122108928378e-01,1.061450000000000726e-01
9.948376736367677831e-01,5.694917828179325570e-01,2.346269964107860206e-01,6.371187528379127496e-01,2.624888784095698591e-01,1.061450000000000726e-01
1.047197551196597631e+00,5.221332601984827182e-01,2.592890486255341465e-01,5.841364205586843106e-01,2.900795415649452536e-01,1.061450000000000726e-01
1.099557428756427591e+00,5.102928283678801469e-01,2.582550538364938308e-01,5.708899411737700103e-01,2.889227602200512002e-01,1.061450000000000726e-01
1.151917306316257328e+00,4.753338503339231691e-01,2.620649450226515964e-01,5.317795954980654161e-01,2.931850747857892570e-01,1.061450000000001004e-01
1.204277183876087287e+00,4.474270244325841972e-01,2.632101604740058609e-01,5.005588428017790914e-01,2.944662842116516632e-01,1.061450000000000726e-01
1.256637061435917246e+00,4.133756665252713569e-01,2.517121234121160178e-01,4.624638968571764264e-01,2.816028588665007160e-01,1.061450000000000865e-01
1.308996938995746984e+00,3.814705855516716815e-01,2.541296160026365603e-01,4.267700975568427535e-01,2.843074279414855576e-01,1.061450000000000865e-01
1.361356816555576943e+00,3.674775674481304266e-01,2.479202056543857724e-01,4.111154129563860948e-01,2.773606520681607401e-01,1.061450000000001004e-01
1.413716694115406902e+00,3.317136269052913256e-01,2.499186965901938617e-01,3.711045157271496420e-01,2.795964631737741790e-01,1.061450000000000726e-01
1.466076571675236639e+00,3.325408981523346186e-01,2.328105709898207754e-01,3.720300251744797504e-01,2.604567530414002019e-01,1.061450000000000587e-01
1.518436449235066599e+00,3.305137029576572516e-01,2.262554291887974578e-01,3.697621011882881170e-01,2.531231902140699264e-01,1.061450000000000726e-01
1.570796326794896558e+00,3.215790932260617629e-01,2.294729814431621384e-01,3.597665093623258481e-01,2.567228257862429475e-01,1.061450000000000449e-01
1.623156204354726295e+00,3.158061342603692978e-01,2.229999897093020989e-01,3.533080133359094432e-01,2.494811683207031616e-01,1.061450000000000726e-01
1.675516081914556255e+00,3.460415719957653513e-01,2.408844816751041507e-01,3.871338997888532085e-01,2.694894380801182709e-01,1.061450000000000726e-01
1.727875959474386214e+00,3.464858035909039735e-01,2.407139926828112952e-01,3.876308837461377999e-01,2.692987035736347790e-01,1.061450000000000587e-01
1.780235837034215951e+00,3.669682902768837129e-01,2.498393169561571869e-01,4.105456592812970484e-01,2.795076572331722797e-01,1.061450000000000726e-01
1.832595714594045910e+00,3.966301948041225378e-01,2.561532397660978289e-01,4.437299056380761830e-01,2.865713563901279848e-01,1.061450000000000726e-01
1.884955592153875870e+00,4.225724648695347585e-01,2.572410740876905355e-01,4.727528121110635695e-01,2.877883706951245846e-01,1.061450000000000726e-01
1.937315469713705607e+00,4.667097159822480301e-01,2.607372976906354167e-01,5.221313479056984841e-01,2.916997697508381115e-01,1.061450000000000726e-01
1.989675347273535566e+00,4.933424090989011468e-01,2.569354586369472782e-01,5.519266649500211841e-01,2.874464635057669137e-01,1.061450000000000726e-01
2.042035224833365525e+00,5.340191078083476039e-01,2.547554449835153778e-01,5.974337088323582456e-01,2.850075739169276590e-01,1.061450000000001004e-01
2.094395102393195263e+00,5.251934777131085363e-01,2.527411574977054265e-01,5.875600379402796669e-01,2.827540904259700505e-01,1.061450000000000726e-01
2.146754979953025000e+00,5.799133625115143742e-01,2.446854885093372178e-01,6.487778918409746742e-01,2.737418132799360193e-01,1.061450000000000726e-01
2.199114857512855181e+00,5.798167113565289021e-01,2.419989593423770846e-01,6.486697633917457573e-01,2.707362596197113724e-01,1.061450000000000726e-01
2.251474735072684918e+00,6.100847373184091760e-01,2.365191142603744745e-01,6.825321079128151558e-01,2.646056846584451949e-01,1.061450000000000726e-01
2.303834612632514656e+00,6.072032885890377152e-01,2.279155565386233040e-01,6.793084880534736580e-01,2.549804571643312645e-01,1.061450000000000726e-01
2.356194490192344837e+00,6.074973578174260869e-01,2.249494128928267167e-01,6.796374779102049013e-01,2.516620848938885824e-01,1.061450000000000726e-01
2.408554367752174574e+00,6.170936279506220590e-01,2.229913951179802734e-01,6.903733021022672167e-01,2.494715531243661133e-01,1.061450000000000587e-01
2.460914245312004311e+00,6.141372649244540849e-01,2.179813063406148554e-01,6.870658718969566703e-01,2.438665178811047496e-01,1.061450000000000726e-01
2.513274122871834493e+00,5.712726649728950834e-01,2.437494653618261231e-01,6.391111141884255886e-01,2.726946376781761439e-01,1.061450000000000449e-01
2.565634000431664230e+00,5.591018656980886181e-01,2.459178915373073926e-01,6.254950363292577364e-01,2.751205637797040637e-01,1.061450000000000726e-01
2.617993877991493967e+00,5.281008887609826008e-01,2.494584876425193776e-01,5.908127031352764513e-01,2.790816045583672800e-01,1.061450000000000865e-01
2.670353755551324149e+00,5.021607466686863752e-01,2.645918073610862842e-01,5.617921773315430745e-01,2.960120012318400162e-01,1.061450000000000865e-01
2.722713633111153886e+00,4.639814608767630078e-01,2.580185921176952335e-01,5.190791133648778866e-01,2.886582187465475124e-01,1.061450000000000726e-01
2.775073510670983623e+00,4.684416820526389191e-01,2.605883922163597655e-01,5.240689844019879029e-01,2.915331817983451423e-01,1.061450000000000726e-01
2.827433388230813804e+00,4.187778218367265159e-01,2.565487679961219181e-01,4.685075564120875780e-01,2.870138534730151680e-01,1.061450000000001004e-01
2.879793265790643542e+00,3.818140373573670754e-01,2.522958862509214750e-01,4.271543341563979745e-01,2.822559433587343847e-01,1.061450000000000726e-01
2.932153143350473279e+00,3.639492021040714453e-01,2.346623008333096894e-01,4.071680553379144474e-01,2.625283752211596822e-01,1.061450000000000726e-01
2.984513020910303460e+00,3.437256470489047366e-01,2.399368051128252799e-01,3.845429594832548426e-01,2.684292252242536647e-01,1.061450000000000726e-01
3.036872898470133197e+00,3.287635276017835673e-01,2.321220342673549764e-01,3.678040930595942171e-01,2.596864527997885808e-01,1.061450000000000726e-01
3.089232776029962935e+00,3.219462247212450112e-01,2.235316769082782151e-01,3.601772376070447312e-01,2.500759932072631475e-01,1.061450000000000587e-01
3.141592653589793116e+00,3.197803500202725524e-01,2.246638417885075678e-01,3.577541659668208029e-01,2.513426023107859231e-01,1.061450000000000726e-01
3.193952531149622853e+00,3.328796027548550640e-01,2.307474530266404866e-01,3.724089508419766714e-01,2.581486404692489023e-01,1.061450000000000726e-01
3.246312408709452590e+00,3.438172333566467120e-01,2.316905403834246813e-01,3.846454216362237277e-01,2.592037191529103501e-01,1.061450000000000726e-01
3.298672286269282772e+00,3.519186121942973200e-01,2.401303692139376278e-01,3.937088366617597646e-01,2.686457750014685231e-01,1.061450000000000726e-01
3.351032163829112509e+00,3.834073829856950999e-01,2.481322657921641861e-01,4.289368890767464304e-01,2.775978942805759075e-01,1.061450000000000726e-01
3.403392041388942246e+00,3.898934431346107177e-01,2.472027761511603472e-01,4.361931668275175200e-01,2.765580280371652266e-01,1.061450000000001004e-01
3.455751918948772428e+00,4.344270198400288496e-01,2.519660876199367183e-01,4.860150917542876980e-01,2.818869812440907285e-01,1.061450000000000726e-01
3.508111796508602165e+00,4.596418520248827244e-01,2.642766989754184448e-01,5.142241773272876459e-01,2.956594738245224008e-01,1.061450000000000726e-01
3.560471674068431902e+00,4.889877213803905387e-01,2.619670651788802984e-01,5.470548594351326566e-01,2.930755717413677797e-01,1.061450000000000726e-01
3.612831551628262083e+00,5.123617751023186173e-01,2.480267053442817560e-01,5.732045746819323107e-01,2.774797985627219243e-01,1.061450000000000726e-01
3.665191429188091821e+00,5.363504511077320513e-01,2.528828015102125848e-01,6.000418984149913371e-01,2.829125546203943853e-01,1.061450000000000865e-01
3.717551306747921558e+00,5.647927811518980157e-01,2.436861567375308013e-01,6.318617462025697407e-01,2.726238111746657200e-01,1.061450000000000726e-01
3.769911184307751739e+00,5.912371183912678019e-01,2.296735100553417286e-01,6.614463401684477217e-01,2.569471671080228448e-01,1.061450000000000587e-01
3.822271061867581476e+00,6.087312397649597973e-01,2.268746387491085703e-01,6.810178829507692599e-01,2.538159307148347144e-01,1.061450000000000587e-01
3.874630939427411214e+00,5.898103336603458535e-01,2.354901736523062061e-01,6.598501251996642392e-01,2.634545576769232178e-01,1.061450000000000726e-01
3.926990816987241395e+00,6.125968332383940895e-01,2.172832967164081974e-01,6.853425144328711971e-01,2.430856198336510954e-01,1.061450000000000726e-01
3.979350694547071132e+00,6.212415613192103780e-01,2.247263749357373275e-01,6.950138012532350862e-01,2.514125612495732853e-01,1.061450000000000726e-01
4.031710572106900869e+00,5.985797387408632320e-01,2.242494446324030111e-01,6.696608943742141662e-01,2.508789956227833740e-01,1.061450000000000865e-01
4.084070449666731051e+00,5.958495101594899479e-01,2.287894722929045277e-01,6.666064520078647249e-01,2.559581501394572189e-01,1.061450000000000726e-01
4.136430327226560344e+00,5.583397184666374358e-01,2.407419863859669440e-01,6.246423843538800869e-01,2.693300215202319992e-01,1.061450000000000726e-01
4.188790204786390525e+00,5.201271182066959931e-01,2.519166374486179749e-01,5.818920498366021432e-01,2.818316588804873901e-01,1.061450000000000726e-01
4.241150082346220707e+00,5.314684522562483915e-01,2.534772180776533879e-01,5.945801637360066394e-01,2.835775579681865111e-01,1.061450000000000587e-01
