scan_phase_rad,port_b_abs_mean,port_b_abs_std,port_b_norm_mean,port_b_norm_std,loss_mean
0.000000000000000000e+00,3.276939640662627218e-01,2.283261968118228680e-01,3.666075191907666730e-01,2.554398608407660309e-01,1.061450000000000587e-01
5.235987755982988295e-02,3.285217064724882396e-01,2.192629770525814370e-01,3.675335557472836912e-01,2.453003865868418065e-01,1.061450000000000726e-01
1.047197551196597659e-01,3.377578406677397282e-01,2.281429807002433030e-01,3.778664779720869449e-01,2.552348878735850035e-01,1.061450000000000726e-01
1.570796326794896558e-01,3.542095202775673024e-01,2.462447149120631229e-01,3.962717893590878004e-01,2.754861973273776132e-01,1.061450000000000726e-01
2.094395102393195318e-01,3.690771513991240038e-01,2.491356047615251312e-01,4.129049469982536413e-01,2.787203794368495746e-01,1.061450000000000726e-01
2.617993877991494078e-01,3.810889466000948467e-01,2.481341381828924553e-01,4.263431390998482784e-01,2.775999890171140239e-01,1.061450000000000726e-01
3.141592653589793116e-01,4.228428092289114870e-01,2.602072530099128200e-01,4.730552597780530166e-01,2.911067824310574204e-01,1.061450000000000726e-01
3.665191429188091599e-01,4.512559675415370730e-01,2.658293509216332895e-01,5.048424717001493978e-01,2.973965027008108608e-01,1.061450000000001004e-01
4.188790204786390636e-01,4.938210937218238117e-01,2.578976880576819286e-01,5.524621932212985254e-01,2.885229573674499282e-01,1.061450000000000587e-01
4.712388980384689674e-01,5.212261427705638939e-01,2.508573273439966278e-01,5.831215832216229966e-01,2.806465560342523702e-01,1.061450000000000865e-01
5.235987755982988157e-01,5.596949345916095719e-01,2.388224719898806858e-01,6.261585319672762218e-01,2.671825653935825384e-01,1.061450000000000726e-01
5.759586531581286639e-01,5.815870266446504511e-01,2.378205127185721579e-01,6.506503030633049578e-01,2.660616237740709433e-01,1.061450000000000726e-01
6.283185307179586232e-01,6.033936618832245191e-01,2.286777204005107367e-01,6.750464693750377609e-01,2.558331277450042185e-01,1.061450000000000865e-01
6.806784082777884715e-01,5.931449400475651279e-01,2.385508430798193580e-01,6.635807150461373594e-01,2.668786806359189634e-01,1.061450000000000726e-01
7.330382858376183197e-01,5.988802293907959928e-01,2.321790212435503320e-01,6.699970681942776229e-01,2.597502069614762710e-01,1.061450000000000587e-01
7.853981633974482790e-01,6.105089053467568361e-01,2.209076879300551355e-01,6.830066457610650676e-01,2.471404063635099235e-01,1.061450000000000587e-01
8.377580409572781273e-01,6.029650974083932136e-01,2.267097252647818362e-01,6.745670130036676149e-01,2.536314338061340101e-01,1.061450000000000726e-01
8.901179185171079755e-01,5.897899791874485764e-01,2.379838747211460992e-01,6.598273536395150574e-01,2.662443849630489745e-01,1.061450000000000726e-01
9.424777960769379348e-01,5.825805025168823148e-01,2.429566825982674982e-01,6.517617538827690238e-01,2.718077122108927268e-01,1.061450000000000726e-01
9.948376736367677831e-01,5.694917828179326680e-01,2.346269964107859651e-01,6.371187528379129716e-01,2.624888784095697480e-01,1.061450000000000865e-01
1.047197551196597631e+00,5.221332601984828292e-01,2.592890486255340909e-01,5.841364205586844216e-01,2.900795415649451980e-01,1.061450000000000726e-01
1.099557428756427591e+00,5.102928283678802579e-01,2.582550538364937753e-01,5.708899411737702323e-01,2.889227602200511447e-01,1.061450000000000865e-01
1.151917306316257328e+00,4.753338503339232246e-01,2.620649450226515409e-01,5.317795954980654161e-01,2.931850747857892014e-01,1.061450000000001004e-01
1.204277183876087287e+00,4.474270244325840862e-01,2.632101604740058054e-01,5.005588428017789804e-01,2.944662842116516077e-01,1.061450000000000726e-01
1.256637061435917246e+00,4.133756665252713569e-01,2.517121234121159623e-01,4.624638968571763153e-01,2.816028588665007160e-01,1.061450000000000726e-01
1.308996938995746984e+00,3.814705855516715705e-01,2.541296160026365047e-01,4.267700975568426980e-01,2.843074279414855021e-01,1.061450000000001004e-01
1.361356816555576943e+00,3.674775674481302601e-01,2.479202056543857169e-01,4.111154129563859283e-01,2.773606520681606846e-01,1.061450000000000865e-01
1.413716694115406902e+00,3.317136269052911035e-01,2.499186965901938062e-01,3.711045157271494754e-01,2.795964631737740680e-01,1.061450000000000865e-01
1.466076571675236639e+00,3.325408981523343965e-01,2.328105709898206921e-01,3.720300251744795839e-01,2.604567530414001464e-01,1.061450000000000587e-01
1.518436449235066599e+00,3.305137029576570851e-01,2.262554291887973190e-01,3.697621011882879505e-01,2.531231902140698153e-01,1.061450000000000587e-01
1.570796326794896558e+00,3.215790932260615409e-01,2.294729814431620274e-01,3.597665093623256261e-01,2.567228257862427809e-01,1.061450000000000449e-01
1.623156204354726295e+00,3.158061342603691313e-01,2.229999897093020156e-01,3.533080133359092212e-01,2.494811683207030506e-01,1.061450000000000726e-01
